word,positive_count,negative_count,part_of_speech
get,214,1632,VB
got,131,1268,VBD
go,125,1198,VB
see,143,996,VB
come,108,959,VB
say,117,885,VB
take,129,853,VB
getting,99,808,VBG
said,58,727,VBD
tested,46,691,VBN
make,93,679,VB
started,48,679,VBN
give,80,676,VB
came,76,660,VBD
let,82,603,VB
went,42,597,VBD
keep,103,590,VB
trying,66,587,VBG
took,52,560,VBD
made,73,508,VBN
coming,54,469,VBG
taking,53,443,VBG
moved,30,438,VBN
done,50,426,VBN
seen,36,426,VBN
saying,29,423,VBG
infected,35,398,VBN
loved,83,398,VBN
believe,72,394,VB
allowed,32,365,VBN
locked,34,356,VBN
used,49,355,VBN
given,31,351,VBN
supposed,17,344,VBN
lost,74,344,VBN
received,63,337,VBN
called,47,333,VBN
testing,17,329,VBG
taken,39,328,VBN
incarcerated,62,321,VBN
giving,28,310,VBG
gave,38,305,VBD
working,53,304,VBG
quarantined,34,293,VBN
comes,30,291,VBZ
happened,28,291,VBD
wanted,33,290,VBD
find,57,284,VB
beginning,28,279,VBG
asked,29,277,VBN
distancing,16,276,VBG
making,27,275,VBG
moving,22,271,VBG
gets,26,264,VBZ
wearing,20,261,VBG
housed,14,261,VBN
died,31,258,VBD
writing,64,252,VBG
visiting,33,234,VBG
happen,30,229,VB
goes,42,228,VBZ
telling,24,227,VBG
leave,39,224,VB
vaccinated,37,223,VBN
talking,22,222,VBG
stopped,22,220,VBD
waiting,29,207,VBG
seems,21,206,VBZ
knowing,36,204,VBG
makes,37,198,VBZ
feeling,37,198,VBG
passed,28,193,VBN
using,20,191,VBG
happening,12,190,VBG
seeing,33,187,VBG
placed,21,185,VBN
dealing,28,182,VBG
takes,17,180,VBZ
run,22,177,VB
exposed,8,176,VBN
putting,11,175,VBG
bringing,15,175,VBG
allow,22,174,VB
ended,16,173,VBN
asking,23,170,VBG
thinking,40,169,VBG
coping,55,169,VBG
tried,13,167,VBN
needed,29,167,VBN
running,24,163,VBG
released,22,163,VBN
began,18,161,VBD
wrote,25,158,VBD
dying,20,156,VBG
scared,15,152,VBN
keeping,34,152,VBG
forced,11,151,VBN
looking,39,150,VBG
became,20,146,VBD
calling,14,145,VBG
changed,20,145,VBN
worked,17,143,VBN
letting,15,142,VBG
gone,19,141,VBN
offered,11,140,VBN
treated,15,140,VBN
sitting,11,139,VBG
remember,26,137,VB
says,13,136,VBZ
transferred,10,135,VBN
allowing,10,135,VBG
denied,8,134,VBD
catching,15,134,VBG
contracted,9,126,VBN
turned,19,125,VBD
spreading,15,122,VBG
refused,21,120,VBD
follow,11,119,VB
known,17,118,VBN
reduced,25,116,VBN
wants,13,114,VBZ
suffering,15,113,VBG
starting,15,111,VBG
receiving,19,106,VBG
provided,12,105,VBN
lose,8,105,VB
closed,10,104,VBD
watching,15,104,VBG
including,18,103,VBG
programming,14,103,VBG
helping,25,103,VBG
walking,6,102,VBG
following,8,101,VBG
gotta,10,100,VBD
sending,17,99,VBG
frustrating,5,96,VBG
seemed,17,96,VBD
serving,6,95,VBG
decided,20,95,VBD
helped,29,94,VBD
staying,22,92,VBG
buy,7,91,VB
based,12,90,VBN
opened,15,90,VBN
hoping,16,89,VBG
learned,26,89,VBN
talked,3,84,VBD
modified,10,83,VBN
filed,3,83,VBN
regarding,6,82,VBG
blessed,37,82,VBN
fighting,18,80,VBG
eating,11,80,VBG
looked,14,80,VBD
messed,3,80,VBN
slow,7,79,VB
arrived,9,79,VBN
gives,15,78,VBZ
listening,12,78,VBG
showing,14,77,VBG
filled,17,77,VBN
confined,9,77,VBN
removed,5,75,VBN
cleared,7,75,VBN
caused,24,74,VBN
holding,8,74,VBG
understanding,20,74,VBG
tired,11,74,VBN
created,11,73,VBN
speaking,5,73,VBG
sharing,9,73,VBG
handled,7,73,VBN
considered,2,72,VBN
leaving,16,72,VBG
setting,9,71,VBG
realize,14,70,VB
mentioned,10,70,VBN
failed,4,69,VBD
showed,6,69,VBD
sentenced,14,69,VBN
cancelled,6,68,VBN
punished,6,68,VBN
losing,12,67,VBG
stated,2,67,VBN
coughing,4,66,VBG
written,13,66,VBN
wondering,8,66,VBG
reaching,16,66,VBG
separated,10,65,VBN
issued,5,63,VBN
informed,8,63,VBN
