Facility Name,Week Number,Specific_Facility_Case_Number,Specific_Facility_Case_Rate,Specific_Facility_Death_Number,Specific_Facility_Death_Rate,Type,Total_Case_Rate,Total_Death_Rate
Alameda_SantaRita,70,486.0,0.0002882757197105,5.0,2.96579958549985E-06,Jail,0.0002882757197105,2.96579958549985E-06
Donovan,70,0.0,0.0,0.0,0.0,Prison,0.0002882757197105,2.96579958549985E-06
NewFolsom,70,0.0,0.0,0.0,0.0,Prison,0.0002882757197105,2.96579958549985E-06
Solano,70,0.0,0.0,0.0,0.0,Prison,0.0002882757197105,2.96579958549985E-06
Alameda_SantaRita,96,831.0,0.00049291589111,9.0,5.33843925389973E-06,Jail,0.0073546875245788,0.0002530558267437590
Tulare_SouthCounty,96,3324.0,0.0017154429083672,120.0,6.19293468724648E-05,Jail,0.0073546875245788,0.0002530558267437590
Alameda_SantaRita,97,820.0,0.0004863911320219,5.0,2.96579958549985E-06,Jail,0.0143572989749302,0.00018835615713961500
Tulare_BobWiley,97,641.0,0.0013232237115083,33.0,6.81222815597112E-05,Jail,0.0143572989749302,0.00018835615713961500
Ventura_Main,97,2140.0,0.00062738420657,20.0,5.8634037997202E-06,Jail,0.0143572989749302,0.00018835615713961500
Ventura_Todd,97,8560.0,0.00062738420657,80.0,5.8634037997202E-06,Jail,0.0143572989749302,0.00018835615713961500
Alameda_SantaRita,98,855.0,0.0005071517291204,6.0,3.55895950259982E-06,Jail,0.0036632212932135,4.46805942799665E-05
NewFolsom,98,0.0,0.0,0.0,0.0,Prison,0.0036632212932135,4.46805942799665E-05
Ventura_Main,98,2100.0,0.0006156573989706,28.0,8.20876531960828E-06,Jail,0.0036632212932135,4.46805942799665E-05
LosAngeles_MensCentral,98,7113.0,0.0006934399682107,85.0,8.28657349893352E-06,Jail,0.0036632212932135,4.46805942799665E-05
Alameda_SantaRita,101,2170.0,0.0006435785100534,14.0,4.15211941969979E-06,Jail,0.006967216585512400,3.26996270945449E-05
SantaClara_Elmwood,101,11176.0,0.0007100074456757,48.0,3.04942353189316E-06,Jail,0.006967216585512400,3.26996270945449E-05
Alameda_SantaRita,106,26169.0,0.0155224018705891,29.0,1.72016375958991E-05,Jail,0.0319242110000492,1.72016375958991E-05
NewFolsom,106,23.0,0.0124932102118414,0.0,0.0,Prison,0.0319242110000492,1.72016375958991E-05
Vacaville,106,13.0,0.0039085989176187,0.0,0.0,Prison,0.0319242110000492,1.72016375958991E-05
Alameda_SantaRita,112,2862.0,0.00084881184137,28.0,8.30423883939958E-06,Jail,0.00169762368274,1.66084776787992E-05
Donovan,63,0.0,0.0,0.0,0.0,Prison,0.0071686194607795,0.0
Solano,63,1.0,0.0002689618074233,0.0,0.0,Prison,0.0071686194607795,0.0
Avenal,63,0.0,0.0,0.0,0.0,Prison,0.0071686194607795,0.0
