Facility Name,Week_Number,Positive_Count,Negative_Count,Overall Count,Prison Count,Overall Positive Ratio,Overall Negative Ratio,Prison Positive Ratio,Prison Negative Ratio,Type,positive_ratio,negative_ratio
Donovan,70,1,1,5,2,0.2,0.2,0.5,0.5,Prison,0.333333333,1
NewFolsom,70,0,1,5,1,0,0.2,0,1,Prison,0.333333333,1
Solano,70,0,1,5,1,0,0.2,0,1,Prison,0.333333333,1
NewFolsom,98,0,1,7,1,0,0.142857143,0,1,Prison,0,1
NewFolsom,106,0,1,3,1,0,0.333333333,0,1,Prison,0,1
Vacaville,106,0,1,3,1,0,0.333333333,0,1,Prison,0,1
Solano,87,0,1,17,1,0,0.058823529,0,1,Prison,0,1
Avenal,89,0,3,77,3,0,0.038961039,0,1,Prison,2.25,3.5
Chowchilla,89,0,1,77,1,0,0.012987013,0,1,Prison,2.25,3.5
Fresno_Mendota,89,0,1,77,1,0,0.012987013,0,1,Prison,2.25,3.5
Merced_USPAtwater,89,9,9,77,18,0.116883117,0.116883117,0.5,0.5,Prison,2.25,3.5
Avenal,43,0,1,4,1,0,0.25,0,1,Prison,0,1
Lancaster,43,0,1,4,1,0,0.25,0,1,Prison,0,1
SanQuentin,43,0,1,4,1,0,0.25,0,1,Prison,0,1
Soledad,43,0,1,4,1,0,0.25,0,1,Prison,0,1
Avenal,44,0,3,12,3,0,0.25,0,1,Prison,0,2.4
Chuckawalla,44,0,5,12,5,0,0.416666667,0,1,Prison,0,2.4
Corcoran,44,0,1,12,1,0,0.083333333,0,1,Prison,0,2.4
Norco,44,0,1,12,1,0,0.083333333,0,1,Prison,0,2.4
SanQuentin,44,0,2,12,2,0,0.166666667,0,1,Prison,0,2.4
Avenal,45,0,3,12,3,0,0.25,0,1,Prison,0,1.714285714
Chuckawalla,45,0,2,12,2,0,0.166666667,0,1,Prison,0,1.714285714
Ironwood,45,0,1,12,1,0,0.083333333,0,1,Prison,0,1.714285714
Lancaster,45,0,1,12,1,0,0.083333333,0,1,Prison,0,1.714285714
Mule Creek,45,0,2,12,2,0,0.166666667,0,1,Prison,0,1.714285714
SanQuentin,45,0,2,12,2,0,0.166666667,0,1,Prison,0,1.714285714
Vacaville,45,0,1,12,1,0,0.083333333,0,1,Prison,0,1.714285714
Avenal,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
CIW,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
CMC,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
Donovan,63,1,0,24,1,0.041666667,0,1,0,Prison,0.214285714,1.5
High Desert,63,1,0,24,1,0.041666667,0,1,0,Prison,0.214285714,1.5
Jamestown,63,0,4,24,4,0,0.166666667,0,1,Prison,0.214285714,1.5
Lancaster,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
Pleasant Valley,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
SalinasValley,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
Solano,63,0,1,24,1,0,0.041666667,0,1,Prison,0.214285714,1.5
Stockton,63,1,3,24,4,0.041666667,0.125,0.25,0.75,Prison,0.214285714,1.5
Tracy,63,0,2,24,2,0,0.083333333,0,1,Prison,0.214285714,1.5
Valley State,63,0,2,24,2,0,0.083333333,0,1,Prison,0.214285714,1.5
Wasco,63,0,3,24,3,0,0.125,0,1,Prison,0.214285714,1.5
Avenal,72,0,1,8,1,0,0.125,0,1,Prison,0,1.4
Corcoran,72,0,1,8,1,0,0.125,0,1,Prison,0,1.4
Mule Creek,72,0,3,8,3,0,0.375,0,1,Prison,0,1.4
PelicanBay,72,0,1,8,1,0,0.125,0,1,Prison,0,1.4
SalinasValley,72,0,1,8,1,0,0.125,0,1,Prison,0,1.4
CIW,46,0,1,3,1,0,0.333333333,0,1,Prison,0,1
Chuckawalla,46,0,1,3,1,0,0.333333333,0,1,Prison,0,1
Ironwood,46,0,1,3,1,0,0.333333333,0,1,Prison,0,1
CIW,48,0,2,13,2,0,0.153846154,0,1,Prison,0,1.444444444
Centinela,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Chino,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Chowchilla,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Chuckawalla,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Donovan,48,0,2,13,2,0,0.153846154,0,1,Prison,0,1.444444444
Lancaster,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
SanQuentin,48,0,1,13,1,0,0.076923077,0,1,Prison,0,1.444444444
Tehachapi,48,0,3,13,3,0,0.230769231,0,1,Prison,0,1.444444444
CIW,49,0,2,23,2,0,0.086956522,0,1,Prison,0.142857143,3.142857143
Chino,49,1,3,23,4,0.043478261,0.130434783,0.25,0.75,Prison,0.142857143,3.142857143
Chowchilla,49,0,1,23,1,0,0.043478261,0,1,Prison,0.142857143,3.142857143
Chuckawalla,49,0,2,23,2,0,0.086956522,0,1,Prison,0.142857143,3.142857143
Lancaster,49,0,1,23,1,0,0.043478261,0,1,Prison,0.142857143,3.142857143
Mule Creek,49,0,1,23,1,0,0.043478261,0,1,Prison,0.142857143,3.142857143
Tehachapi,49,0,12,23,12,0,0.52173913,0,1,Prison,0.142857143,3.142857143
CIW,50,0,2,17,2,0,0.117647059,0,1,Prison,0.142857143,2.285714286
CSATF,50,1,1,17,2,0.058823529,0.058823529,0.5,0.5,Prison,0.142857143,2.285714286
Chino,50,0,2,17,2,0,0.117647059,0,1,Prison,0.142857143,2.285714286
Chowchilla,50,0,1,17,1,0,0.058823529,0,1,Prison,0.142857143,2.285714286
Solano,50,0,3,17,3,0,0.176470588,0,1,Prison,0.142857143,2.285714286
Soledad,50,0,2,17,2,0,0.117647059,0,1,Prison,0.142857143,2.285714286
Tehachapi,50,0,5,17,5,0,0.294117647,0,1,Prison,0.142857143,2.285714286
CIW,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
Chino,51,0,3,15,3,0,0.2,0,1,Prison,0.111111111,1.555555556
Chowchilla,51,0,3,15,3,0,0.2,0,1,Prison,0.111111111,1.555555556
Corcoran,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
SanQuentin,51,1,1,15,2,0.066666667,0.066666667,0.5,0.5,Prison,0.111111111,1.555555556
Solano,51,0,2,15,2,0,0.133333333,0,1,Prison,0.111111111,1.555555556
Soledad,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
Tehachapi,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
Vacaville,51,0,1,15,1,0,0.066666667,0,1,Prison,0.111111111,1.555555556
CIW,52,0,1,18,1,0,0.055555556,0,1,Prison,0.25,2
CSATF,52,0,1,18,1,0,0.055555556,0,1,Prison,0.25,2
Chino,52,0,1,18,1,0,0.055555556,0,1,Prison,0.25,2
