Filename,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment,Tag
Calipatria_20210323_644_PrisonConditions.txt,0.202,0.732,0.066,-0.9986,Negative Sentiment Outlier
Chino_20201209_05_35_FULL_PrisonConditions.txt,0.212,0.788,0.0,-0.8658,Negative Sentiment Outlier
Chino_20201209_5_35_FULL_PrisonConditions.txt,0.319,0.681,0.0,-0.9274,Negative Sentiment Outlier
Chino_20201228_178_Full_PrisonConditions_Infection.txt,0.21,0.711,0.079,-0.9937,Negative Sentiment Outlier
Chino_20201231_186_Stress_Family.txt,0.208,0.708,0.084,-0.9615,Negative Sentiment Outlier
Chowchilla_122120_193_Prisonconditons.txt,0.232,0.726,0.042,-0.9606,Negative Sentiment Outlier
Chowchilla_20201204_84_FULL.txt,0.246,0.633,0.121,-0.9846,Negative Sentiment Outlier
Chowchilla_20201224_212_Full_PrisonConditions_Infection_Stress.txt,0.246,0.687,0.066,-0.994,Negative Sentiment Outlier
CMC_20210125_332_Full_Infection.txt,0.208,0.758,0.034,-0.9917,Negative Sentiment Outlier
CMC_20210302_524_FULL.txt,0.275,0.628,0.097,-0.9998,Negative Sentiment Outlier
CMC_20210302_524_PrisonConditions_Family_Stress.txt,0.288,0.658,0.055,-0.9993,Negative Sentiment Outlier
CMC_20210302_524_PrisonConditions_Stress_Programs.txt,0.261,0.608,0.131,-0.9989,Negative Sentiment Outlier
CSATF_20210108_239_PrisonConditons.txt,0.23,0.731,0.039,-0.9933,Negative Sentiment Outlier
CSATF_20210119_320_FULL.txt,0.282,0.642,0.076,-0.9999,Negative Sentiment Outlier
HighDesert_20210201_368_ PrisonConditions_Infection.txt,0.225,0.73,0.045,-0.9991,Negative Sentiment Outlier
HighDesert_20210201_368_Full.txt,0.208,0.691,0.101,-0.9996,Negative Sentiment Outlier
HighDesert_20210201_368_Stress.txt,0.226,0.586,0.188,-0.9353,Negative Sentiment Outlier
HighDesert_20210208_345_PrisonConditions.txt,0.221,0.705,0.073,-0.9736,Negative Sentiment Outlier
HighDesert_20210211_442_FULL.txt,0.259,0.665,0.076,-0.9999,Negative Sentiment Outlier
Ironwood_20210125_311_Programs_Family.txt,0.221,0.625,0.154,-0.8687,Negative Sentiment Outlier
KernValley_20210427_754_FULL_StressInfection.txt,0.284,0.666,0.05,-0.9929,Negative Sentiment Outlier
KernValley_20210513_1345_FULL.txt,0.21,0.707,0.083,-0.9982,Negative Sentiment Outlier
KernValley_20210513_1345_Stress_PrisonConditions_Infection.txt,0.237,0.68,0.083,-0.9981,Negative Sentiment Outlier
MuleCreek_20210114_6_33_Stress.txt,0.211,0.727,0.062,-0.9709,Negative Sentiment Outlier
MuleCreek_20210426_868_FULL_PrisonConditions.txt,0.256,0.694,0.05,-0.9875,Negative Sentiment Outlier
MuleCreek_20210426_870_FULL_FamilyStressInfection.txt,0.211,0.68,0.109,-0.9884,Negative Sentiment Outlier
MuleCreek_20210426_875_Conditions.txt,0.25,0.68,0.069,-0.9967,Negative Sentiment Outlier
MuleCreek_20210427_885_FULL_Fear_Infection.txt,0.24,0.702,0.058,-0.9974,Negative Sentiment Outlier
NewFolsom_20210423_771_Infection_Programs.txt,0.215,0.741,0.044,-0.9962,Negative Sentiment Outlier
Orange_TheoLacy_20210423_777_FULL_StressPrisonConditions.txt,0.204,0.732,0.064,-0.9963,Negative Sentiment Outlier
SanJoaquin_Main_20210906_26426_PrisonConditions2_Stress2_Infection.txt,0.446,0.471,0.084,-0.9998,Negative Sentiment Outlier
SanQuentin_20201201_75_PrisonConditions_A_Program.txt,0.242,0.758,0.0,-0.9975,Negative Sentiment Outlier
SanQuentin_20210125_312_Family 1_Stress.txt,0.237,0.699,0.064,-0.9954,Negative Sentiment Outlier
San_Quentin_20201109_022_PrisonConditions.txt,0.229,0.68,0.091,-0.9896,Negative Sentiment Outlier
Solano_20210315_547_Infection_PrisonConditions.txt,0.212,0.75,0.039,-0.9984,Negative Sentiment Outlier
Soledad_20210109_241_PrisonConditions1_MarchtoApril2020.txt,0.204,0.736,0.06,-0.9983,Negative Sentiment Outlier
Stockton_20210304_513_Stress_A_Family_A.txt,0.209,0.657,0.134,-0.947,Negative Sentiment Outlier
Tehachapi_20201123_063_Family.txt,0.217,0.676,0.107,-0.9432,Negative Sentiment Outlier
Tehachapi_20201123_063_Infection.txt,0.218,0.661,0.121,-0.8151,Negative Sentiment Outlier
Tracy_20210222_451_FULL_Stress.txt,0.21,0.681,0.11,-0.9597,Negative Sentiment Outlier
Vacaville_20201222_155_Stress.txt,0.245,0.701,0.054,-0.975,Negative Sentiment Outlier
Valleystate_20210322_627_StressInfection.txt,0.213,0.629,0.158,-0.9823,Negative Sentiment Outlier
Chino_20200828_136_family.txt,0.0,1.0,0.0,0.0,Neutral Sentiment Outlier
Chowchilla_20201204_84_FULL.txt,0.246,0.633,0.121,-0.9846,Neutral Sentiment Outlier
Chowchilla_20201208_117_full.txt,0.051,0.604,0.345,0.9843,Neutral Sentiment Outlier
Chowchilla_20201208_117_Infection.txt,0.033,0.635,0.331,0.9623,Neutral Sentiment Outlier
CMC_20210302_524_FULL.txt,0.275,0.628,0.097,-0.9998,Neutral Sentiment Outlier
CMC_20210302_524_PrisonConditions_Stress_Programs.txt,0.261,0.608,0.131,-0.9989,Neutral Sentiment Outlier
CSATF_20210119_320_FULL.txt,0.282,0.642,0.076,-0.9999,Neutral Sentiment Outlier
Donovan_20201202_05_31_Programs1.txt,0.037,0.963,0.0,-0.296,Neutral Sentiment Outlier
Donovan_20210421_907_FULL_Family_PrisonConditions.txt,0.103,0.617,0.28,0.9954,Neutral Sentiment Outlier
Donovan_20210430_1011_FamilyStress.txt,0.175,0.637,0.188,-0.4097,Neutral Sentiment Outlier
Donovan_20210503_1101_FULL.txt,0.094,0.608,0.298,0.9997,Neutral Sentiment Outlier
Donovan_20210503_1101_Stress_Family.txt,0.112,0.629,0.259,0.9939,Neutral Sentiment Outlier
HighDesert_20210128_305_FULL.txt,0.136,0.628,0.237,0.9961,Neutral Sentiment Outlier
